division,district,upazila,bazar,merchandise,price_type,year,lowest_price,maximum_price,price
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Aman,Retail,2010,4,5,4.5
Dhaka,Rajbari,Rajbari Sadar,Rajbari Sadar,Aman,Retail,2010,5,5,5
Dhaka,Kishoreganj,Kishoreganj Sadar,Kishoreganj Sadar,Aman,Retail,2010,5,6,5.5
Dhaka,Netrokona,Netrokona Sadar,Netrokona Sadar,Aman,Retail,2010,10,12,11
Dhaka,Netrokona,Netrokona Sadar,Netrokona Sadar,Aman,Retail,2010,12,12.5,12.25
Khulna,Narail,Narail Sadar,Narail Sadar,Aman,Retail,2010,14.5,16,15.25
Dhaka,Netrokona,Netrokona Sadar,Netrokona Sadar,Aman,Retail,2010,12,22,17
Dhaka,Jamalpur,Jamalpur Sadar,Jamalpur Sadar,Aman,Retail,2010,17.61,17.99,17.8
Dhaka,Jamalpur,Jamalpur Sadar,Jamalpur Sadar,Boro,Retail,2010,18.24,18.68,18.46
Dhaka,Netrokona,Netrokona Sadar,Netrokona Sadar,Aman,Retail,2010,12,25,18.5
Dhaka,Jamalpur,Jamalpur Sadar,Jamalpur Sadar,Boro,Retail,2010,18.53,18.98,18.76
Dhaka,Jamalpur,Jamalpur Sadar,Jamalpur Sadar,Aman,Retail,2010,18.68,19.08,18.88
Dhaka,Netrokona,Netrokona Sadar,Netrokona Sadar,Aus,Retail,2010,15,25.6,20.3
Khulna,Jhenaidah,Jhenaidah Sadar,Jhenaidah Sadar,Aman,Retail,2010,20,22,21
Dhaka,Jamalpur,Jamalpur Sadar,Jamalpur Sadar,Aman,Retail,2010,21.21,21.59,21.4
Khulna,Jhenaidah,Jhenaidah Sadar,Jhenaidah Sadar,Aman,Retail,2010,22,25,23.5
Khulna,Meherpur,Meherpur Sadar,Meherpur Sadar,Aman,Retail,2010,24,26,25
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Boro,Retail,2010,24.92,26,25.46
Chittagong,Lakshmipur,Lakshmipur Sadar,Lakshmipur Sadar,Aman,Retail,2010,25,26,25.5
Dhaka,Narayanganj,Narayanganj Sadar,Narayanganj Sadar,Aman,Retail,2010,25,26,25.5
Chittagong,Rangamati,Rangamati Sadar,Rangamati Sadar,Boro,Retail,2010,25,27,26
Chittagong,Brahmanbaria,Brahmanbaria Sadh,Brahmanbaria Sadar,Aman,Retail,2010,26,28,27
Chittagong,Chandpur,Chandpur Sadar,Chandpur Sadar,Aman,Retail,2010,26,28,27
Barisal,Bhola,Bhola Sadar,Bhola Sadar,Aman,Retail,2010,25,30,27.5
Chittagong,Cox's Bazar,Cox's Bazar Sadar,Cox's Bazar Sadar,Aman,Retail,2010,25,30,27.5
Barisal,Pirojpur,Pirojpur Sadar,Pirojpur Sadar,Boro,Retail,2010,28,30,29
Rangpur,Thakurgaon,Thakurgaon Sadar,Thakurgaon Sadar,Boro,Retail,2010,28,30,29
Dhaka,Munshiganj,Munshiganj Sadar,Munshiganj Sadar,Boro,Retail,2010,28.74,29.82,29.28
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Boro,Retail,2010,28,30.67,29.33
Chittagong,Rangamati,Rangamati Sadar,Rangamati Sadar,Boro,Retail,2010,30,32,31
Chittagong,Cox's Bazar,Cox's Bazar Sadar,Cox's Bazar Sadar,Aman,Retail,2010,29.5,35,32.25
Dhaka,Tangail,Bhuapur,Sialkoal Bazar,Aman,Retail,2010,30,35,32.5
Barisal,Pirojpur,Pirojpur Sadar,Pirojpur Sadar,Boro,Retail,2010,30,35,32.5
Dhaka,Tangail,Bhuapur,Bhuyapur Sadar,Aman,Retail,2010,31.5,33.5,32.5
Dhaka,Munshiganj,Munshiganj Sadar,Munshiganj Sadar,Boro,Retail,2010,31.98,33.24,32.61
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Boro,Retail,2010,32.75,34.17,33.46
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Aman,Retail,2010,33,34.33,33.67
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Boro,Retail,2010,34.3,35.63,34.96
Dhaka,Tangail,Bhuapur,Bhuyapur Sadar,Aman,Retail,2010,32.5,37.5,35
Dhaka,Tangail,Bhuapur,Bhuyapur Sadar,Aman,Retail,2010,34,36,35
Chittagong,Cox's Bazar,Cox's Bazar Sadar,Cox's Bazar Sadar,Aman,Retail,2010,33.5,37.5,35.5
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Boro,Retail,2010,35.75,37.08,36.41
Chittagong,Rangamati,Rangamati Sadar,Rangamati Sadar,Boro,Retail,2010,36,38,37
Dhaka,Tangail,Madhupur,Madhupur,Aman,Retail,2010,35,40,37.5
Dhaka,Munshiganj,Munshiganj Sadar,Munshiganj Sadar,Boro,Retail,2010,37.5,38.76,38.13
Dhaka,Tangail,Bhuapur,Bhuyapur Sadar,Aman,Retail,2010,37,40,38.5
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Aman,Retail,2010,37.67,40,38.83
Chittagong,Cox's Bazar,Cox's Bazar Sadar,Cox's Bazar Sadar,Aman,Retail,2010,35,45,40
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Boro,Retail,2010,39.7,41.3,40.5
Dhaka,Tangail,Bhuapur,Sialkoal Bazar,Aman,Retail,2010,40,45,42.5
Dhaka,Tangail,Bhuapur,Bhuyapur Sadar,Aman,Retail,2010,40,45,42.5
Dhaka,Tangail,Madhupur,Madhupur,Aman,Retail,2010,40,45,42.5
Dhaka,Tangail,Madhupur,Madhupur,Aman,Retail,2010,40,45,42.5
Dhaka,Tangail,Madhupur,Madhupur,Aman,Retail,2010,40,45,42.5
Dhaka,Tangail,Madhupur,Madhupur,Aman,Retail,2010,40,45,42.5
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Aman,Retail,2010,42,44,43
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Aman,Retail,2010,42,45,43.5
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Aman,Retail,2010,44,50,47
Dhaka,Tangail,Bhuapur,Bhuyapur Sadar,Aman,Retail,2010,46,48,47
Dhaka,Kishoreganj,Kishoreganj Sadar,Kishoreganj Sadar,Aman,Retail,2010,42,53,47.5
Dhaka,Tangail,Bhuapur,Sialkoal Bazar,Aman,Retail,2010,45,50,47.5
Dhaka,Kishoreganj,Kishoreganj Sadar,Kishoreganj Sadar,Aman,Retail,2010,42,60,51
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Aus,Retail,2010,51,51.6,51.3
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Aus,Retail,2010,51.6,52.1,51.85
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Boro,Retail,2010,52,52.6,52.3
Dhaka,Kishoreganj,Kishoreganj Sadar,Kishoreganj Sadar,Aman,Retail,2010,45,60,52.5
Dhaka,Kishoreganj,Kishoreganj Sadar,Kishoreganj Sadar,Aman,Retail,2010,45,60,52.5
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Boro,Retail,2010,53.25,53.75,53.5
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Boro,Retail,2010,54.5,54.75,54.63
Barisal,Bhola,Bhola Sadar,Bhola Sadar,Aman,Retail,2010,50,60,55
Chittagong,Noakhali,Noakhali Sadar,Noakhali Sadar,Aman,Retail,2010,25,26.5,25.75
Chittagong,Khagrachari,Khagrachari,Khagrachari Sadar,Aman,Retail,2011,12.63,12.75,12.69
Chittagong,Khagrachari,Khagrachari,Khagrachari Sadar,Aman,Retail,2011,12.75,13.03,12.89
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Aus,Retail,2011,12,14,13
Dhaka,Jamalpur,Jamalpur Sadar,Jamalpur Sadar,Boro,Retail,2011,13,14,13.5
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Aman,Retail,2011,12,16,14
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Aus,Retail,2011,13,16,14.5
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Boro,Retail,2011,14,15,14.5
Rangpur,Thakurgaon,Thakurgaon Sadar,Thakurgaon Sadar,Aman,Retail,2011,14,16,15
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Boro,Retail,2011,15,16,15.5
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Aus,Retail,2011,14,18,16
Dhaka,Jamalpur,Jamalpur Sadar,Jamalpur Sadar,Boro,Retail,2011,15.5,16.5,16
Chittagong,Feni,Feni,Feni Sadar,Aus,Retail,2011,15.83,16.2,16.02
Chittagong,Feni,Feni,Feni Sadar,Aman,Retail,2011,16,16.5,16.25
Chittagong,Feni,Feni,Feni Sadar,Aman,Retail,2011,16,17,16.5
Sylhet,Habiganj,Habiganj Sadar,Habiganj Sadar,Boro,Retail,2011,16.75,17,16.88
Chittagong,Feni,Feni,Feni Sadar,Aman,Retail,2011,17,17.52,17.26
Chittagong,Feni,Feni,Feni Sadar,Boro,Retail,2011,17.16,17.55,17.36
Sylhet,Habiganj,Habiganj Sadar,Habiganj Sadar,Boro,Retail,2011,17.25,17.5,17.38
Chittagong,Feni,Feni,Feni Sadar,Boro,Retail,2011,17.9,18.27,18.08
Dhaka,Narayanganj,Narayanganj Sadar,Narayanganj Sadar,Boro,Retail,2011,18.73,19.8,19.27
Chittagong,Bandarban,Bandarban Sadar,Bandarban Sadar,Aman,Retail,2011,19.5,20.5,20
Dhaka,Madaripur,Madaripur Sadar,Madaripur Sadar,Boro,Retail,2011,19.85,20.8,20.33
Dhaka,Narayanganj,Narayanganj Sadar,Narayanganj Sadar,Boro,Retail,2011,20.13,21.17,20.65
Dhaka,Madaripur,Madaripur Sadar,Madaripur Sadar,Boro,Retail,2011,21,22,21.5
Dhaka,Madaripur,Madaripur Sadar,Madaripur Sadar,Aman,Retail,2011,21.33,21.89,21.61
Dhaka,Madaripur,Madaripur Sadar,Madaripur Sadar,Aman,Retail,2011,21.5,22,21.75
Dhaka,Madaripur,Madaripur Sadar,Madaripur Sadar,Aman,Retail,2011,21.5,22,21.75
Dhaka,Madaripur,Madaripur Sadar,Madaripur Sadar,Aman,Retail,2011,22,23,22.5
Dhaka,Madaripur,Madaripur Sadar,Madaripur Sadar,Boro,Retail,2011,22,23,22.5
Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,Aman,Retail,2011,24,26,25
Barisal,Bhola,Bhola Sadar,Bhola Sadar,Aman,Retail,2011,23.67,27.33,25.5
Dhaka,Narayanganj,Narayanganj Sadar,Narayanganj Sadar,Aman,Retail,2011,25.88,26.88,26.38
Rajshahi,Joypurhat,Joypurhat Sadar,Joypurhat Sadar,Aman,Retail,2011,26.82,27.82,27.32
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Aman,Retail,2011,26.73,28.05,27.39
Rajshahi,Pabna,Pabna Sadar,Pabna Sadar,Aman,Retail,2011,27,28,27.5
Rangpur,Thakurgaon,Thakurgaon Sadar,Thakurgaon Sadar,Aman,Retail,2011,26,29.5,27.75
Dhaka,Gazipur,Gazipur,Gazipur Sadar,Aman,Retail,2011,28,30,29
Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,Aman,Retail,2011,28,30,29
Chittagong,Bandarban,Bandarban Sadar,Bandarban Sadar,Aman,Retail,2011,29,30,29.5
Barisal,Bhola,Bhola Sadar,Bhola Sadar,Aman,Retail,2011,28.67,30.67,29.67
Chittagong,Chittagong,Chittagong Sadar,Chittagong Sadar,Aman,Retail,2011,30,32,31
Dhaka,Gazipur,Gazipur,Gazipur Sadar,Boro,Retail,2011,31,32,31.5
Dhaka,Gazipur,Gazipur,Gazipur Sadar,Aman,Retail,2011,30,34,32
Sylhet,Habiganj,Habiganj Sadar,Habiganj Sadar,Aman,Retail,2011,31.68,33.11,32.39
Rangpur,Thakurgaon,Thakurgaon Sadar,Thakurgaon Sadar,Aman,Retail,2011,30,35,32.5
Rangpur,Dinajpur,Dinajpur Sadar,Dinajpur Sadar,Aman,Retail,2011,32,34,33
Rangpur,Nilphamari,Nilphamari Sadar,Nilphamari Sadar,Aman,Retail,2011,32,34,33
Sylhet,Sylhet,Sylhet Sadar,Sylhet Sadar,Aman,Retail,2011,32,34,33
Dhaka,Faridpur,Faridpur Sadar,Faridpur Sadar,Aman,Retail,2011,32.33,33.92,33.13
Dhaka,Faridpur,Faridpur Sadar,Faridpur Sadar,Boro,Retail,2011,32.44,33.9,33.17
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Aman,Retail,2011,32.4,34,33.2
Rajshahi,Pabna,Pabna Sadar,Pabna Sadar,Aman,Retail,2011,33,38,35.5
Chittagong,Chittagong,Chittagong Sadar,Chittagong Sadar,Aman,Retail,2011,35,36,35.5
Dhaka,Gazipur,Gazipur,Gazipur Sadar,Boro,Retail,2011,35,36,35.5
Barisal,Jhalakathi,Jhalakathi Sadar,Jhalakathi Sadar,Aman,Retail,2011,35,36,35.5
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Aman,Retail,2011,36,38,37
Rangpur,Dinajpur,Dinajpur Sadar,Dinajpur Sadar,Aman,Retail,2011,36,38,37
Barisal,Jhalakathi,Jhalakathi Sadar,Jhalakathi Sadar,Aman,Retail,2011,36,38,37
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Aman,Retail,2011,35,40,37.5
Rangpur,Nilphamari,Nilphamari Sadar,Nilphamari Sadar,Aman,Retail,2011,36,40,38
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Aman,Retail,2011,38,40,39
Dhaka,Faridpur,Faridpur Sadar,Faridpur Sadar,Aman,Retail,2011,38.13,40.31,39.22
Dhaka,Faridpur,Faridpur Sadar,Faridpur Sadar,Boro,Retail,2011,38.95,41.24,40.1
Chittagong,Chittagong,Chittagong Sadar,Chittagong Sadar,Aman,Retail,2011,40,42,41
Rangpur,Dinajpur,Dinajpur Sadar,Dinajpur Sadar,Aman,Retail,2011,40.5,42,41.25
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Aman,Retail,2011,41.4,41.5,41.45
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Aman,Retail,2011,42,42.5,42.25
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Aman,Retail,2011,40,45,42.5
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Aman,Retail,2011,42,43,42.5
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Aman,Retail,2011,42.54,43,42.77
Dhaka,Gazipur,Gazipur,Gazipur Sadar,Aman,Retail,2011,41.5,44.5,43
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Aman,Retail,2011,43,43.54,43.27
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Aman,Retail,2011,43,44,43.5
Rajshahi,Pabna,Pabna Sadar,Pabna Sadar,Aman,Retail,2011,43,45,44
Dhaka,Gazipur,Gazipur,Gazipur Sadar,Boro,Retail,2011,44,45,44.5
Rangpur,Dinajpur,Dinajpur Sadar,Dinajpur Sadar,Aman,Retail,2011,44,46,45
Sylhet,Sunamganj,Sunamganj Sadar,Sunamganj Sadar,Aman,Retail,2011,46,46.5,46.25
Dhaka,Faridpur,Faridpur Sadar,Faridpur Sadar,Boro,Retail,2011,47.52,50.19,48.86
Dhaka,Narayanganj,Narayanganj Sadar,Narayanganj Sadar,Aman,Retail,2011,48,50,49
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Aman,Retail,2011,50,52,51
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Aman,Retail,2011,54,54.5,54.25
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Aman,Retail,2011,55,55,55
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Aman,Retail,2011,55,56,55.5
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Aman,Retail,2011,55,56,55.5
Sylhet,Habiganj,Habiganj Sadar,Habiganj Sadar,Aman,Retail,2011,55,57,56
Rangpur,Nilphamari,Nilphamari Sadar,Nilphamari Sadar,Aman,Retail,2011,60,65,62.5
Sylhet,Sylhet,Sylhet Sadar,Sylhet Sadar,Aman,Retail,2011,60,65,62.5
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Aman,Retail,2011,68.5,70.5,69.5
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Aman,Retail,2011,70,85,77.5
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Aman,Retail,2011,80,83.5,81.75
Chittagong,Khagrachari,Khagrachari,Khagrachari Sadar,Aman,Retail,2012,10.97,11.97,11.47
Dhaka,Tangail,Bhuapur,Bhuyapur Sadar,Aman,Retail,2012,12,12,12
Chittagong,Khagrachari,Khagrachari,Khagrachari Sadar,Aman,Retail,2012,11.86,12.86,12.36
Chittagong,Khagrachari,Khagrachari,Khagrachari Sadar,Aman,Retail,2012,12.43,12.93,12.68
Dhaka,Tangail,Bhuapur,Bhuyapur Sadar,Aman,Retail,2012,12,15,13.5
Dhaka,Tangail,Bhuapur,Bhuyapur Sadar,Aman,Retail,2012,14,16,15
Chittagong,Feni,Feni,Feni Sadar,Boro,Retail,2012,14.8,15.53,15.17
Chittagong,Feni,Feni,Feni Sadar,Aman,Retail,2012,15.16,15.66,15.41
Dhaka,Narayanganj,Narayanganj Sadar,Narayanganj Sadar,Boro,Retail,2012,15.42,15.42,15.42
Chittagong,Feni,Feni,Feni Sadar,Aman,Retail,2012,15.63,16.13,15.88
Chittagong,Feni,Feni,Feni Sadar,Aman,Retail,2012,16.06,16.67,16.36
Chittagong,Feni,Feni,Feni Sadar,Aman,Retail,2012,16.35,16.9,16.63
Rajshahi,Rajshahi,Rajshahi Sadar,Rajshahi Sadar,Boro,Retail,2012,16.83,17.67,17.25
Chittagong,Chandpur,Chandpur Sadar,Chandpur Sadar,Aman,Retail,2012,16.29,18.29,17.29
Dhaka,Narayanganj,Narayanganj Sadar,Narayanganj Sadar,Aman,Retail,2012,17.76,18.38,18.07
Rajshahi,Rajshahi,Rajshahi Sadar,Rajshahi Sadar,Boro,Retail,2012,18.57,19.33,18.95
Dhaka,Narayanganj,Narayanganj Sadar,Narayanganj Sadar,Boro,Retail,2012,19.85,20.58,20.22
Chittagong,Feni,Feni,Feni Sadar,Boro,Retail,2012,13.88,27.54,20.71
Rajshahi,Nawabganj,Nawabganj Sadar,Nawabganj Sadar,Aman,Retail,2012,22.2,23.2,22.7
Dhaka,Mymensingh,Mymensingh Sadar,Mymensingh Sadar,Boro,Retail,2012,23.92,24.86,24.39
Dhaka,Kishoreganj,Kishoreganj Sadar,Kishoreganj Sadar,Aman,Retail,2012,24,25,24.5
Khulna,wrestling,Kushtia Sadar,Kushtia Sadar,Boro,Retail,2012,24.5,26.71,25.61
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Boro,Retail,2012,23.5,28,25.75
Dhaka,Munshiganj,Munshiganj Sadar,Munshiganj Sadar,Boro,Retail,2012,26.18,27.18,26.68
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Aman,Retail,2012,26,27.5,26.75
Barisal,Patuakhali,Patuakhali Sadar,Patuakhali Sadar,Boro,Retail,2012,25.5,29,27.25
Sylhet,Habiganj,Habiganj Sadar,Habiganj Sadar,Aman,Retail,2012,26.9,28.85,27.87
Dhaka,Kishoreganj,Kishoreganj Sadar,Kishoreganj Sadar,Aman,Retail,2012,28,29,28.5
Khulna,wrestling,Kushtia Sadar,Kushtia Sadar,Boro,Retail,2012,28,30,29
Dhaka,Mymensingh,Mymensingh Sadar,Mymensingh Sadar,Boro,Retail,2012,27.45,30.91,29.18
Chittagong,Chittagong,Chittagong Sadar,Chittagong Sadar,Aman,Retail,2012,28.78,30.78,29.78
Sylhet,Sunamganj,Sunamganj Sadar,Sunamganj Sadar,Boro,Retail,2012,28,31.8,29.9
Dhaka,Munshiganj,Munshiganj Sadar,Munshiganj Sadar,Boro,Retail,2012,30.85,31.44,31.14
Barisal,Patuakhali,Patuakhali Sadar,Patuakhali Sadar,Boro,Retail,2012,31,34,32.5
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Aman,Retail,2012,33,34,33.5
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Aman,Retail,2012,32,36,34
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Boro,Retail,2012,34,35,34.5
Chittagong,Chittagong,Chittagong Sadar,Chittagong Sadar,Aman,Retail,2012,33.49,35.83,34.66
Dhaka,Munshiganj,Munshiganj Sadar,Munshiganj Sadar,Boro,Retail,2012,35.59,36.64,36.12
Rajshahi,Rajshahi,Rajshahi Sadar,Rajshahi Sadar,Boro,Retail,2012,34.33,38.67,36.5
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Aman,Retail,2012,37.01,37.21,37.11
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Boro,Retail,2012,37.5,39.5,38.5
