division,district,upazila,bazar,merchandise,price_type,year,lowest_price,maximum_price,price
Chittagong,Khagrachari,Khagrachari,Khagrachari Sadar,Aman,Retail,2018,13,14,13.5
Chittagong,Khagrachari,Khagrachari,Khagrachari Sadar,Aman,Retail,2018,14,15,14.5
Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur Sadar,Boro,Retail,2018,16.41,17.34,16.88
Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,Boro,Retail,2018,16.9,17.9,17.4
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Boro,Retail,2018,17.05,18.05,17.55
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Boro,Retail,2018,17.61,18.61,18.11
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Aus,Retail,2018,17.68,18.68,18.18
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Aman,Retail,2018,17.72,18.72,18.22
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Aman,Retail,2018,18,19,18.5
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Boro,Retail,2018,18.08,19.02,18.55
Chittagong,Feni,Feni,Feni Sadar,Boro,Retail,2018,18.08,19.08,18.58
Chittagong,Feni,Feni,Feni Sadar,Boro,Retail,2018,18.74,19.74,19.24
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Boro,Retail,2018,18.75,19.75,19.25
Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,Boro,Retail,2018,19.07,20.05,19.56
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Aman,Retail,2018,19.25,20.25,19.75
Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur Sadar,Boro,Retail,2018,19.49,20.8,20.14
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Boro,Retail,2018,19.65,20.71,20.18
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Boro,Retail,2018,19.97,20.9,20.44
Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,Aman,Retail,2018,20.61,21.55,21.08
Chittagong,Feni,Feni,Feni Sadar,Aman,Retail,2018,20.96,21.96,21.46
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Aman,Retail,2018,21.14,21.93,21.54
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Boro,Retail,2018,21.38,22.41,21.89
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Aman,Retail,2018,21.84,22.84,22.34
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Aman,Retail,2018,22.1,23.1,22.6
Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,Aman,Retail,2018,22.18,23.25,22.72
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Aman,Retail,2018,22.58,23.58,23.08
Chittagong,Feni,Feni,Feni Sadar,Aman,Retail,2018,23.14,24.04,23.59
Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur Sadar,Aman,Retail,2018,23.54,24.58,24.06
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Aman,Retail,2018,23.58,24.58,24.08
Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur Sadar,Aman,Retail,2018,23.86,25.05,24.46
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Boro,Retail,2018,24.38,25.38,24.88
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Aman,Retail,2018,24.69,25.45,25.07
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Boro,Retail,2018,24.55,25.68,25.11
Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,Aman,Retail,2018,25,26,25.5
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Aman,Retail,2018,25,26,25.5
Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur Sadar,Boro,Retail,2018,25,26,25.5
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Aman,Retail,2018,25.39,26.39,25.89
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Aman,Retail,2018,26.07,27.07,26.57
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Boro,Retail,2018,26.32,27.32,26.82
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Aman,Retail,2018,26.42,27.42,26.92
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Boro,Retail,2018,29.3,30.21,29.75
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Aman,Retail,2018,29.95,30.95,30.45
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Boro,Retail,2019,9.31,10.31,9.81
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Aus,Retail,2019,9.5,10.5,10
Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,Boro,Retail,2019,11.81,12.81,12.31
Chittagong,Khagrachari,Khagrachari,Khagrachari Sadar,Aman,Retail,2019,13,14,13.5
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Boro,Retail,2019,13,14.17,13.58
Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,Boro,Retail,2019,13.52,14.17,13.85
Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Boro,Retail,2019,13.53,14.37,13.95
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Boro,Retail,2019,13.57,14.57,14.07
Chittagong,Khagrachari,Khagrachari,Khagrachari Sadar,Aman,Retail,2019,14,15,14.5
Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,Aman,Retail,2019,14,15,14.5
Chittagong,Feni,Feni,Feni Sadar,Boro,Retail,2019,14.27,14.8,14.53
Chittagong,Feni,Feni,Feni Sadar,Aman,Retail,2019,14.5,15,14.75
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Aman,Retail,2019,14.45,15.42,14.93
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Boro,Retail,2019,14.83,15.83,15.33
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Boro,Retail,2019,15.16,16.16,15.66
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Boro,Retail,2019,15.35,16.35,15.85
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Aman,Retail,2019,15.48,16.48,15.98
Chittagong,Feni,Feni,Feni Sadar,Boro,Retail,2019,15.8,16.2,16
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Aman,Retail,2019,15.56,16.67,16.11
Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,Aman,Retail,2019,15.65,16.65,16.15
Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur Sadar,Boro,Retail,2019,15.93,16.93,16.43
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Aman,Retail,2019,16,17,16.5
Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Boro,Retail,2019,16.55,17.12,16.83
Chittagong,Feni,Feni,Feni Sadar,Boro,Retail,2019,16.5,17.5,17
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Aman,Retail,2019,16.52,17.5,17.01
Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,Aman,Retail,2019,17.08,18.08,17.58
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Aman,Retail,2019,17.05,18.19,17.62
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Aman,Retail,2019,17.18,18.08,17.63
Chittagong,Feni,Feni,Feni Sadar,Aman,Retail,2019,17.33,17.97,17.65
Dhaka,Netrokona,Netrokona Sadar,Netrokona Sadar,Boro,Retail,2019,17.5,18,17.75
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Aman,Retail,2019,17.33,18.33,17.83
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Boro,Retail,2019,17.43,18.63,18.03
Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur Sadar,Aman,Retail,2019,17.64,18.64,18.14
Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur Sadar,Boro,Retail,2019,17.75,18.79,18.27
Khulna,Chuadanga,Chuadanga Sadar,Chuadanga Sadar,Aman,Retail,2019,18,19,18.5
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Aman,Retail,2019,18,19,18.5
Rajshahi,Sirajganj,Ullapara,Ullapara,Aman,Retail,2019,18,19,18.5
Chittagong,Feni,Feni,Feni Sadar,Aman,Retail,2019,18.24,19.04,18.64
Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur Sadar,Boro,Retail,2019,18.22,19.16,18.69
Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur Sadar,Aman,Retail,2019,18.61,19.65,19.13
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Aman,Retail,2019,18.7,19.7,19.2
Rajshahi,Sirajganj,Ullapara,Ullapara,Aman,Retail,2019,19,20,19.5
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Aman,Retail,2019,19.27,20.36,19.82
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Aman,Retail,2019,19.62,20.64,20.13
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Aman,Retail,2019,19.85,20.85,20.35
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Aman,Retail,2019,19.9,20.9,20.4
Dhaka,Netrokona,Netrokona Sadar,Netrokona Sadar,Boro,Retail,2019,20,21,20.5
Rajshahi,Sirajganj,Ullapara,Ullapara,Aman,Retail,2019,20,21,20.5
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Boro,Retail,2019,20.11,21.25,20.68
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Aman,Retail,2019,19.73,21.73,20.73
Khulna,Chuadanga,Chuadanga Sadar,Chuadanga Sadar,Aman,Retail,2019,21,22,21.5
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Boro,Retail,2019,21.01,21.98,21.5
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Boro,Retail,2019,24.49,25.49,24.99
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Aman,Retail,2019,25.31,26.31,25.81
Rajshahi,Rajshahi,Rajshahi Sadar,Rajshahi Sadar,Aman,Retail,2019,25.5,26.5,26
Rajshahi,Rajshahi,Rajshahi Sadar,Rajshahi Sadar,Aman,Retail,2019,28.75,29.75,29.25
Rajshahi,Rajshahi,Rajshahi Sadar,Rajshahi Sadar,Boro,Retail,2019,29,30.5,29.75
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Aman,Retail,2019,34.97,36.32,35.65
Khulna,Meherpur,Meherpur Sadar,Meherpur Sadar,Boro,Retail,2019,50,52,51
Dhaka,Mymensingh,Mymensingh Sadar,Mymensingh Sadar,Aman,Retail,2019,50,60,55
Chittagong,Feni,Feni,Feni Sadar,Aman,Retail,2020,15.55,16.03,15.79
Chittagong,Khagrachari,Khagrachari,Khagrachari Sadar,Boro,Retail,2020,16.1,17.07,16.58
Chittagong,Khagrachari,Khagrachari,Khagrachari Sadar,Boro,Retail,2020,16,17.5,16.75
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Aman,Retail,2020,17.23,18.24,17.73
Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,Aman,Retail,2020,17.53,18.53,18.03
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Boro,Retail,2020,17.79,18.79,18.29
Chittagong,Feni,Feni,Feni Sadar,Boro,Retail,2020,18.05,18.55,18.3
Chittagong,Khagrachari,Khagrachari,Khagrachari Sadar,Boro,Retail,2020,17.88,18.88,18.38
Barisal,Patuakhali,Patuakhali Sadar,Patuakhali Sadar,Aman,Retail,2020,18,20,19
Barisal,Bhola,Bhola Sadar,Bhola Sadar,Aman,Retail,2020,18.71,19.71,19.21
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Aman,Retail,2020,19.03,20.03,19.53
Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur Sadar,Boro,Retail,2020,19.14,20.14,19.64
Khulna,Magura,Magura Sadar,Magura Sadar,Boro,Retail,2020,19.45,20.45,19.95
Chittagong,Feni,Feni,Feni Sadar,Aman,Retail,2020,19.56,20.5,20.03
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Boro,Retail,2020,19.53,20.59,20.06
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Boro,Retail,2020,19.59,20.59,20.09
Chittagong,Feni,Feni,Feni Sadar,Boro,Retail,2020,20.05,20.55,20.3
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Aman,Retail,2020,19.83,20.83,20.33
Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,Aman,Retail,2020,19.95,20.96,20.46
Rangpur,Rangpur,Rangpur Sadar,Rangpur Sadar,Aman,Retail,2020,20,21,20.5
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Aman,Retail,2020,19.72,21.48,20.6
Chittagong,Feni,Feni,Feni Sadar,Boro,Retail,2020,20.5,21,20.75
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Aman,Retail,2020,20.66,21.66,21.16
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Aman,Retail,2020,20.86,21.86,21.36
Barisal,Bhola,Bhola Sadar,Bhola Sadar,Boro,Retail,2020,21,22,21.5
Chittagong,Noakhali,Noakhali Sadar,Noakhali Sadar,Boro,Retail,2020,21,22,21.5
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Aman,Retail,2020,21.04,22.04,21.54
Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur Sadar,Aman,Retail,2020,21.17,22.28,21.73
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Aus,Retail,2020,21.29,22.53,21.91
Barisal,Patuakhali,Patuakhali Sadar,Patuakhali Sadar,Aman,Retail,2020,21.57,22.68,22.13
Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur Sadar,Aman,Retail,2020,21.71,22.95,22.33
Khulna,Magura,Magura Sadar,Magura Sadar,Boro,Retail,2020,22,23,22.5
Chittagong,Rangamati,Rangamati Sadar,Rangamati Sadar,Boro,Retail,2020,22.03,23.03,22.53
Barisal,Pirojpur,Pirojpur Sadar,Pirojpur Sadar,Boro,Retail,2020,22.18,23.44,22.81
Barisal,Pirojpur,Pirojpur Sadar,Pirojpur Sadar,Boro,Retail,2020,22.28,23.5,22.89
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Aman,Retail,2020,22.47,23.47,22.97
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Aman,Retail,2020,22.48,23.48,22.98
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Aman,Retail,2020,22.65,23.65,23.15
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Boro,Retail,2020,22.73,23.73,23.23
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Boro,Retail,2020,22.95,24.36,23.66
Barisal,Pirojpur,Pirojpur Sadar,Pirojpur Sadar,Aman,Retail,2020,23.06,24.99,24.03
Dhaka,Tangail,Tangail Sadar Bazar,Tangail Sadar Bazar,Boro,Retail,2020,23.63,24.63,24.13
Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur Sadar,Aus,Retail,2020,23.69,24.69,24.19
Rangpur,Kurigram,Kurigram Sadar,Kurigram Sadar,Aman,Retail,2020,23.63,24.77,24.2
Dhaka,Netrokona,Netrokona Sadar,Netrokona Sadar,Boro,Retail,2020,24.11,24.74,24.42
Khulna,Magura,Magura Sadar,Magura Sadar,Boro,Retail,2020,24,25,24.5
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Aman,Retail,2020,24.02,25.06,24.54
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Boro,Retail,2020,24.18,25.18,24.68
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,Boro,Retail,2020,24.25,25.25,24.75
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Aman,Retail,2020,24.72,25.84,25.28
Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur Sadar,Boro,Retail,2020,24.7,25.91,25.3
Chittagong,Noakhali,Noakhali Sadar,Noakhali Sadar,Aman,Retail,2020,25,26,25.5
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Boro,Retail,2020,25.07,26.07,25.57
Khulna,Meherpur,Meherpur Sadar,Meherpur Sadar,Aman,Retail,2020,25.33,26.33,25.83
Dhaka,Netrokona,Netrokona Sadar,Netrokona Sadar,Boro,Retail,2020,25.52,26.3,25.91
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Aman,Retail,2020,25.16,27.05,26.11
Chittagong,Rangamati,Rangamati Sadar,Rangamati Sadar,Aman,Retail,2020,26,27,26.5
Rangpur,Rangpur,Rangpur Sadar,Rangpur Municipality Bazar,Aman,Retail,2020,26.1,27,26.55
Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur Sadar,Boro,Retail,2020,26.12,27.12,26.62
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Boro,Retail,2020,26.13,27.13,26.63
Rajshahi,Rajshahi,Rajshahi Sadar,Rajshahi Sadar,Aman,Retail,2020,26.16,27.16,26.66
Dhaka,Gazipur,Gazipur,Gazipur Sadar,Boro,Retail,2020,26.09,27.29,26.69
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Boro,Retail,2020,26.31,27.31,26.81
Khulna,Meherpur,Meherpur Sadar,Meherpur Sadar,Aus,Retail,2020,26.18,28,27.09
Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur Sadar,Boro,Retail,2020,26.75,27.81,27.28
Dhaka,Sherpur,Sherpur Sadar,Sherpur Sadar,Aman,Retail,2020,26.79,27.79,27.29
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Boro,Retail,2020,26.81,27.81,27.31
Khulna,Meherpur,Meherpur Sadar,Meherpur Sadar,Boro,Retail,2020,26.66,28.06,27.36
Rangpur,Rangpur,Rangpur Sadar,Rangpur Municipality Bazar,Aman,Retail,2020,27.03,27.8,27.42
Rajshahi,Rajshahi,Rajshahi Sadar,Rajshahi Sadar,Boro,Retail,2020,26.74,28.25,27.49
Dhaka,Gazipur,Gazipur,Gazipur Sadar,Aman,Retail,2020,27,28,27.5
Dhaka,Sherpur,Sherpur Sadar,Sherpur Sadar,Boro,Retail,2020,27.3,28.47,27.88
Rajshahi,Rajshahi,Rajshahi Sadar,Rajshahi Sadar,Aman,Retail,2020,27.59,28.82,28.21
Dhaka,Shariatpur,Shariatpur Sadar,Shariatpur Sadar,Aus,Retail,2020,27.57,29.39,28.48
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,Boro,Retail,2020,27.84,29.15,28.5
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Aman,Retail,2020,28.47,29.47,28.97
Rajshahi,Natore,Natore Sadar,Natore Sadar,Aman,Retail,2020,28.55,29.55,29.05
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Boro,Retail,2020,28.75,29.84,29.29
Dhaka,Gazipur,Gazipur,Gazipur Sadar,Aman,Retail,2020,29,30,29.5
Dhaka,Gazipur,Gazipur,Gazipur Sadar,Aman,Retail,2020,29.39,30.39,29.89
Rajshahi,Rajshahi,Rajshahi Sadar,Rajshahi Sadar,Boro,Retail,2020,29.34,30.85,30.1
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Aman,Retail,2020,30,31,30.5
Dhaka,Sherpur,Sherpur Sadar,Sherpur Sadar,Aman,Retail,2020,29.76,31.32,30.54
Rajshahi,Natore,Natore Sadar,Natore Sadar,Aman,Retail,2020,30.31,31.31,30.81
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Aman,Retail,2020,32.8,33.53,33.17
Rangpur,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,Aman,Retail,2020,38.05,39.82,38.93
Chittagong,Brahmanbaria,Brahmanbaria Sadh,Brahmanbaria Sadar,Boro,Retail,2020,43.87,44.67,44.27
Chittagong,Brahmanbaria,Brahmanbaria Sadh,Brahmanbaria Sadar,Boro,Retail,2020,47.33,50.26,48.8
Khulna,Chuadanga,Chuadanga Sadar,Chuadanga Sadar,Boro,Retail,2020,76.43,80.93,78.68
Khulna,Chuadanga,Chuadanga Sadar,Chuadanga Sadar,Boro,Retail,2020,85.64,90.14,87.89
Khulna,Chuadanga,Chuadanga Sadar,Chuadanga Sadar,Boro,Retail,2020,94.64,99.14,96.89
